,AEW,NJPW,WWE,TotalMatches
Hiroshi Tanahashi,9.0,655.0,0.0,664.0
Tetsuya Naito,3.0,637.0,0.0,640.0
Tomohiro Ishii,41.0,547.0,0.0,588.0
Kazuchika Okada,62.0,477.0,0.0,539.0
Shingo Takagi,5.0,528.0,0.0,533.0
Zack Sabre Jr.,11.0,494.0,4.0,509.0
Hiromu Takahashi,7.0,495.0,0.0,502.0
El Desperado,4.0,466.0,0.0,470.0
Will Ospreay,71.0,288.0,0.0,359.0
El Phantasmo,5.0,348.0,0.0,353.0
Jeff Cobb,10.0,339.0,0.0,349.0
Tama Tonga,0.0,306.0,28.0,334.0
AJ Styles,0.0,27.0,298.0,325.0
Shota Umino,5.0,301.0,0.0,306.0
Minoru Suzuki,12.0,287.0,0.0,299.0
Ricochet,58.0,40.0,183.0,281.0
Yuya Uemura,4.0,272.0,0.0,276.0
Jay White,61.0,213.0,0.0,274.0
Juice Robinson,48.0,218.0,0.0,266.0
Kenny Omega,121.0,141.0,0.0,262.0
Satoshi Kojima,3.0,256.0,0.0,259.0
Jon Moxley,215.0,41.0,0.0,256.0
Rocky Romero,60.0,184.0,0.0,244.0
Clark Connors,4.0,226.0,0.0,230.0
TJP,1.0,200.0,27.0,228.0
Kota Ibushi,9.0,208.0,7.0,224.0
Nick Jackson,142.0,68.0,0.0,210.0
Shinsuke Nakamura,0.0,42.0,166.0,208.0
Matt Jackson,141.0,62.0,0.0,203.0
Roderick Strong,93.0,0.0,104.0,197.0
Kyle O'Reilly,90.0,37.0,70.0,197.0
Lance Archer,68.0,128.0,0.0,196.0
Chris Jericho,137.0,6.0,48.0,191.0
Kevin Knight,45.0,136.0,0.0,181.0
Gabe Kidd,8.0,167.0,0.0,175.0
Bobby Lashley,21.0,0.0,145.0,166.0
Dax Harwood,160.0,6.0,0.0,166.0
Wheeler Yuta,134.0,29.0,0.0,163.0
Toni Storm,119.0,0.0,40.0,159.0
Kyle Fletcher,105.0,54.0,0.0,159.0
Rey Fenix,137.0,0.0,22.0,159.0
Konosuke Takeshita,111.0,48.0,0.0,159.0
Karl Anderson,11.0,54.0,93.0,158.0
Daniel Garcia,145.0,7.0,0.0,152.0
Samoa Joe,65.0,0.0,85.0,150.0
Katsuyori Shibata,55.0,93.0,0.0,148.0
Cash Wheeler,142.0,5.0,0.0,147.0
Adam Cole,70.0,7.0,70.0,147.0
Titan,4.0,136.0,0.0,140.0
Dragon Lee,1.0,57.0,78.0,136.0
Brody King,97.0,36.0,0.0,133.0
Eddie Kingston,98.0,29.0,0.0,127.0
Tony Nese,38.0,0.0,86.0,124.0
Jeff Hardy,34.0,0.0,87.0,121.0
Lio Rush,38.0,62.0,17.0,117.0
Shane Haste,3.0,113.0,0.0,116.0
Matt Hardy,82.0,0.0,30.0,112.0
Shelton Benjamin,29.0,2.0,80.0,111.0
Bryan Danielson,107.0,3.0,0.0,110.0
Matt Sydal,89.0,21.0,0.0,110.0
Mustafa Ali,0.0,4.0,106.0,110.0
Willow Nightingale,101.0,5.0,0.0,106.0
Mark Briscoe,93.0,12.0,0.0,105.0
Cody Rhodes,27.0,0.0,74.0,101.0
Bobby Fish,22.0,37.0,40.0,99.0
Luke Gallows,3.0,0.0,89.0,92.0
Keith Lee,35.0,0.0,54.0,89.0
Frankie Kazarian,83.0,4.0,2.0,89.0
Ethan Page,49.0,0.0,39.0,88.0
QT Marshall,82.0,5.0,0.0,87.0
Mark Davis,33.0,52.0,0.0,85.0
Mascara Dorada,24.0,60.0,0.0,84.0
Christopher Daniels,66.0,17.0,0.0,83.0
Matt Riddle,0.0,4.0,75.0,79.0
Ariya Daivari,20.0,5.0,54.0,79.0
Jay Lethal,66.0,11.0,0.0,77.0
Jack Perry,51.0,16.0,0.0,67.0
Bandido,55.0,11.0,0.0,66.0
Royce Isaacs,5.0,60.0,0.0,65.0
Jade Cargill,29.0,0.0,36.0,65.0
Cody,36.0,28.0,0.0,64.0
Mike Bailey,44.0,19.0,0.0,63.0
Toa Liona,47.0,16.0,0.0,63.0
Bishop Kaun,46.0,16.0,0.0,62.0
Doc Gallows,8.0,53.0,0.0,61.0
Peter Avalon,56.0,3.0,0.0,59.0
Blake Christian,16.0,42.0,0.0,58.0
Zack Gibson,10.0,3.0,45.0,58.0
Danny Limelight,18.0,38.0,0.0,56.0
Rush,51.0,5.0,0.0,56.0
Billy Gunn,48.0,7.0,1.0,56.0
CM Punk,32.0,0.0,23.0,55.0
Shawn Spears,35.0,0.0,20.0,55.0
Alex Shelley,1.0,24.0,30.0,55.0
Hechicero,31.0,23.0,0.0,54.0
Colt Cabana,45.0,9.0,0.0,54.0
Aaron Solo,47.0,7.0,0.0,54.0
Buddy Matthews,50.0,3.0,0.0,53.0
James Drake,9.0,3.0,40.0,52.0
Mansoor,14.0,0.0,38.0,52.0
Mercedes Mone,45.0,7.0,0.0,52.0
Volador Jr.,5.0,46.0,0.0,51.0
Stephanie Vaquer,2.0,6.0,43.0,51.0
Jorel Nelson,4.0,45.0,0.0,49.0
Chris Sabin,1.0,18.0,29.0,48.0
Nick Comoroto,44.0,3.0,0.0,47.0
Alan Angels,43.0,4.0,0.0,47.0
Nick Wayne,33.0,13.0,0.0,46.0
Mistico,14.0,32.0,0.0,46.0
Mina Shirakawa,32.0,9.0,0.0,41.0
Josh Alexander,32.0,8.0,0.0,40.0
Matt Taven,31.0,9.0,0.0,40.0
Atlantis Jr.,6.0,31.0,0.0,37.0
Ace Austin,5.0,31.0,0.0,36.0
Templario,4.0,30.0,0.0,34.0
Giulia,0.0,6.0,28.0,34.0
Mercedes Martinez,18.0,0.0,15.0,33.0
Deonna Purrazzo,22.0,0.0,8.0,30.0
Sting,26.0,0.0,3.0,29.0
El Lindaman,3.0,26.0,0.0,29.0
MVP,5.0,0.0,22.0,27.0
Hanson,0.0,17.0,5.0,22.0
CIMA,10.0,9.0,0.0,19.0
Alex Windsor,15.0,3.0,0.0,18.0
Trish Adora,9.0,7.0,0.0,16.0
Jonathan Gresham,3.0,13.0,0.0,16.0
Dan Moloney,0.0,12.0,4.0,16.0
Yoshiki Inamura,0.0,3.0,12.0,15.0
Magnus,4.0,8.0,0.0,12.0
Viva Van,4.0,7.0,0.0,11.0
Momo Watanabe,4.0,5.0,0.0,9.0
T-Hawk,6.0,3.0,0.0,9.0
Laredo Kid,3.0,0.0,4.0,7.0
Rugido,3.0,3.0,0.0,6.0
