Wrestler,n_rated,avg_rating,std_rating,elite_matches,poor_matches,main_promotion,first_year,last_year,elite_rate,poor_rate,consistency_bonus,elite_bonus,poor_penalty,QualityScore
Nicholas Jackson,29,4.362,0.461,17,0,AEW,2024,2025,0.586,0.0,0.37,1.172,0.0,5.904
Matthew Jackson,29,4.362,0.461,17,0,AEW,2024,2025,0.586,0.0,0.37,1.172,0.0,5.904
Mike Bailey,42,4.339,0.39,23,0,AEW,2023,2025,0.548,0.0,0.405,1.095,0.0,5.84
Kenny Omega,170,4.407,0.657,92,0,AEW,2015,2025,0.541,0.0,0.271,1.082,0.0,5.761
Konosuke Takeshita,109,4.351,0.459,53,1,AEW,2022,2025,0.486,0.009,0.37,0.972,0.014,5.68
Bryan Danielson,97,4.351,0.529,47,0,AEW,2021,2024,0.485,0.0,0.336,0.969,0.0,5.655
Will Ospreay,242,4.369,0.683,121,2,NJPW,2016,2025,0.5,0.008,0.259,1.0,0.012,5.615
Adam Page,105,4.267,0.544,51,1,AEW,2019,2025,0.486,0.01,0.328,0.971,0.014,5.552
Matt Jackson,149,4.225,0.518,61,0,AEW,2015,2025,0.409,0.0,0.341,0.819,0.0,5.385
Nick Jackson,154,4.218,0.52,62,0,AEW,2015,2025,0.403,0.0,0.34,0.805,0.0,5.363
Ilja Dragunov,33,4.212,0.468,12,0,WWE,2019,2025,0.364,0.0,0.366,0.727,0.0,5.305
Jon Moxley,171,4.178,0.468,62,0,AEW,2019,2025,0.363,0.0,0.366,0.725,0.0,5.269
Kota Ibushi,141,4.167,0.598,57,1,NJPW,2015,2025,0.404,0.007,0.301,0.809,0.011,5.265
Kyle Fletcher,99,4.177,0.61,41,3,AEW,2019,2025,0.414,0.03,0.295,0.828,0.045,5.255
Rey Fenix,85,4.197,0.491,30,1,AEW,2019,2025,0.353,0.012,0.354,0.706,0.018,5.24
PAC,79,4.203,0.484,27,1,AEW,2019,2025,0.342,0.013,0.358,0.684,0.019,5.225
Cash Wheeler,98,4.173,0.402,31,0,AEW,2020,2025,0.316,0.0,0.399,0.633,0.0,5.205
Dax Harwood,113,4.179,0.387,34,0,AEW,2020,2025,0.301,0.0,0.406,0.602,0.0,5.187
Luchasaurus,43,4.11,0.451,14,0,AEW,2019,2025,0.326,0.0,0.375,0.651,0.0,5.136
Jungle Boy,40,4.131,0.404,12,0,AEW,2019,2022,0.3,0.0,0.398,0.6,0.0,5.129
Swerve Strickland,69,4.123,0.537,22,0,AEW,2022,2025,0.319,0.0,0.332,0.638,0.0,5.093
Bandido,49,4.158,0.429,12,0,AEW,2019,2025,0.245,0.0,0.385,0.49,0.0,5.033
Johnny Gargano,71,4.074,0.511,21,0,WWE,2015,2025,0.296,0.0,0.344,0.592,0.0,5.01
Claudio Castagnoli,105,4.086,0.436,27,0,AEW,2022,2025,0.257,0.0,0.382,0.514,0.0,4.982
Mark Briscoe,72,4.087,0.414,18,0,AEW,2016,2025,0.25,0.0,0.393,0.5,0.0,4.98
Pete Dunne,47,4.09,0.398,11,0,WWE,2017,2025,0.234,0.0,0.401,0.468,0.0,4.959
Christian Cage,34,4.051,0.447,9,0,AEW,2021,2025,0.265,0.0,0.376,0.529,0.0,4.957
Penta El Zero Miedo,62,4.117,0.438,14,0,AEW,2020,2024,0.226,0.0,0.381,0.452,0.0,4.949
Ortiz,20,4.112,0.636,7,2,AEW,2019,2024,0.35,0.1,0.282,0.7,0.15,4.945
Tyler Bate,34,4.059,0.547,10,1,WWE,2017,2024,0.294,0.029,0.326,0.588,0.044,4.929
Komander,41,4.049,0.444,11,1,AEW,2023,2025,0.268,0.024,0.378,0.537,0.037,4.927
Adam Cole,82,4.061,0.509,21,1,AEW,2016,2025,0.256,0.012,0.346,0.512,0.018,4.901
Shingo Takagi,175,4.023,0.754,65,11,NJPW,2018,2025,0.371,0.063,0.223,0.743,0.094,4.894
Logan Paul,20,4.012,0.448,5,0,WWE,2022,2025,0.25,0.0,0.376,0.5,0.0,4.889
CM Punk,39,4.045,0.455,9,0,AEW,2021,2025,0.231,0.0,0.373,0.462,0.0,4.879
Josh Alexander,29,4.078,0.428,6,0,AEW,2021,2025,0.207,0.0,0.386,0.414,0.0,4.877
Tomohiro Ishii,264,3.988,0.67,93,15,NJPW,2015,2025,0.352,0.057,0.265,0.705,0.085,4.872
Kazuchika Okada,316,4.028,0.779,113,18,NJPW,2015,2025,0.358,0.057,0.211,0.715,0.085,4.869
Tommaso Ciampa,66,3.989,0.495,18,1,WWE,2015,2025,0.273,0.015,0.352,0.545,0.023,4.864
Kyle O'Reilly,112,4.016,0.457,27,1,AEW,2015,2025,0.241,0.009,0.372,0.482,0.013,4.856
Gunther,51,4.029,0.468,12,1,WWE,2022,2025,0.235,0.02,0.366,0.471,0.029,4.837
MJF,57,4.022,0.662,17,2,AEW,2019,2025,0.298,0.035,0.269,0.596,0.053,4.835
Wheeler Yuta,73,4.007,0.491,18,1,AEW,2021,2025,0.247,0.014,0.354,0.493,0.021,4.834
Brody King,72,3.997,0.6,22,4,AEW,2021,2025,0.306,0.056,0.3,0.611,0.083,4.824
Buddy Matthews,33,3.917,0.499,9,1,AEW,2021,2025,0.273,0.03,0.351,0.545,0.045,4.767
Daniel Garcia,76,3.997,0.423,15,1,AEW,2021,2025,0.197,0.013,0.388,0.395,0.02,4.76
Rush,31,3.976,0.42,6,0,AEW,2017,2025,0.194,0.0,0.39,0.387,0.0,4.753
Ricochet,130,3.981,0.547,31,3,WWE,2015,2025,0.238,0.023,0.327,0.477,0.035,4.75
Hechicero,32,3.945,0.526,8,1,AEW,2017,2025,0.25,0.031,0.337,0.5,0.047,4.735
Zack Sabre Jr.,213,3.968,0.656,61,12,NJPW,2016,2025,0.286,0.056,0.272,0.573,0.085,4.729
Nathan Frazer,38,4.046,0.362,5,0,WWE,2022,2025,0.132,0.0,0.419,0.263,0.0,4.728
Eddie Kingston,65,3.988,0.728,20,5,AEW,2020,2025,0.308,0.077,0.236,0.615,0.115,4.724
Malakai Black,31,3.935,0.612,9,2,AEW,2021,2024,0.29,0.065,0.294,0.581,0.097,4.713
Axiom,37,4.027,0.376,5,0,WWE,2022,2025,0.135,0.0,0.412,0.27,0.0,4.709
Jack Perry,38,3.908,0.624,11,2,AEW,2022,2025,0.289,0.053,0.288,0.579,0.079,4.696
The Beast Mortos,35,4.014,0.297,4,0,AEW,2024,2025,0.114,0.0,0.452,0.229,0.0,4.695
Cody Rhodes,58,3.991,0.596,13,2,WWE,2020,2025,0.224,0.034,0.302,0.448,0.052,4.69
Je'Von Evans,33,3.977,0.473,7,2,WWE,2024,2025,0.212,0.061,0.363,0.424,0.091,4.674
Wes Lee,35,3.957,0.356,5,0,WWE,2021,2025,0.143,0.0,0.422,0.286,0.0,4.665
Daniel Bryan,39,3.878,0.544,9,2,WWE,2015,2021,0.231,0.051,0.328,0.462,0.077,4.591
Darby Allin,91,3.948,0.492,15,3,AEW,2019,2025,0.165,0.033,0.354,0.33,0.049,4.582
Mistico,26,3.923,0.345,3,0,NJPW,2016,2025,0.115,0.0,0.428,0.231,0.0,4.581
Mascara Dorada,39,3.91,0.488,6,0,AEW,2015,2025,0.154,0.0,0.356,0.308,0.0,4.574
Kevin Knight,47,3.872,0.733,14,4,AEW,2022,2025,0.298,0.085,0.233,0.596,0.128,4.574
Cody,35,3.943,0.403,4,0,NJPW,2017,2020,0.114,0.0,0.399,0.229,0.0,4.57
Dragon Lee,71,3.859,0.457,12,1,NJPW,2016,2025,0.169,0.014,0.372,0.338,0.021,4.548
Andrade El Idolo,25,4.03,0.325,1,0,AEW,2021,2023,0.04,0.0,0.437,0.08,0.0,4.547
Aleister Black,26,3.894,0.401,3,0,WWE,2017,2025,0.115,0.0,0.399,0.231,0.0,4.524
Chris Jericho,104,3.911,0.553,18,4,AEW,2015,2025,0.173,0.038,0.324,0.346,0.058,4.523
Riddle,27,3.852,0.456,4,0,WWE,2021,2022,0.148,0.0,0.372,0.296,0.0,4.52
Powerhouse Hobbs,42,3.875,0.684,11,4,AEW,2021,2025,0.262,0.095,0.258,0.524,0.143,4.514
Roderick Strong,94,3.912,0.501,13,2,AEW,2017,2025,0.138,0.021,0.35,0.277,0.032,4.506
Orange Cassidy,98,3.89,0.405,12,2,AEW,2020,2025,0.122,0.02,0.398,0.245,0.031,4.502
Katsuyori Shibata,91,3.835,0.463,14,1,NJPW,2015,2025,0.154,0.011,0.369,0.308,0.016,4.495
Mercedes Mone,32,3.844,0.659,9,4,AEW,2023,2025,0.281,0.125,0.27,0.562,0.188,4.489
Michael Elgin,62,3.806,0.484,10,0,NJPW,2015,2019,0.161,0.0,0.358,0.323,0.0,4.487
Bobby Fish,43,3.808,0.556,8,1,NJPW,2015,2023,0.186,0.023,0.322,0.372,0.035,4.467
Jay White,137,3.834,0.641,31,10,NJPW,2015,2025,0.226,0.073,0.279,0.453,0.109,4.456
Volador Jr.,32,3.852,0.411,4,1,NJPW,2015,2025,0.125,0.031,0.395,0.25,0.047,4.449
Carmelo Hayes,42,3.827,0.433,5,0,WWE,2021,2025,0.119,0.0,0.384,0.238,0.0,4.449
Dante Martin,43,3.82,0.379,4,0,AEW,2021,2025,0.093,0.0,0.41,0.186,0.0,4.416
Seth Rollins,158,3.835,0.561,25,7,WWE,2015,2025,0.158,0.044,0.32,0.316,0.066,4.405
Drew McIntyre,99,3.889,0.503,12,5,WWE,2017,2025,0.121,0.051,0.349,0.242,0.076,4.404
Roman Reigns,107,3.799,0.664,24,8,WWE,2015,2025,0.224,0.075,0.268,0.449,0.112,4.403
Hiromu Takahashi,152,3.808,0.679,35,13,NJPW,2017,2025,0.23,0.086,0.261,0.461,0.128,4.4
Sammy Guevara,72,3.854,0.57,12,5,AEW,2019,2025,0.167,0.069,0.315,0.333,0.104,4.398
IYO SKY,37,3.858,0.512,5,2,WWE,2022,2025,0.135,0.054,0.344,0.27,0.081,4.391
Damian Priest,64,3.836,0.421,6,1,WWE,2019,2025,0.094,0.016,0.39,0.188,0.023,4.39
Kevin Owens,118,3.847,0.548,17,6,WWE,2015,2025,0.144,0.051,0.326,0.288,0.076,4.385
Giulia,21,3.845,0.321,1,0,WWE,2021,2025,0.048,0.0,0.44,0.095,0.0,4.38
JD McDonagh,31,3.855,0.451,3,1,WWE,2022,2025,0.097,0.032,0.375,0.194,0.048,4.375
KUSHIDA,96,3.745,0.51,14,1,NJPW,2015,2025,0.146,0.01,0.345,0.292,0.016,4.366
Mark Davis,35,3.836,0.715,8,4,AEW,2019,2025,0.229,0.114,0.243,0.457,0.171,4.364
Solo Sikoa,30,3.867,0.552,4,2,WWE,2022,2025,0.133,0.067,0.324,0.267,0.1,4.357
Mustafa Ali,24,3.833,0.388,1,0,WWE,2017,2025,0.042,0.0,0.406,0.083,0.0,4.323
Marty Scurll,34,3.801,0.514,3,0,NJPW,2017,2019,0.088,0.0,0.343,0.176,0.0,4.321
Hiroshi Tanahashi,279,3.758,0.752,63,25,NJPW,2015,2025,0.226,0.09,0.224,0.452,0.134,4.299
Matt Sydal,31,3.823,0.414,2,1,NJPW,2015,2024,0.065,0.032,0.393,0.129,0.048,4.296
Matt Riddle,29,3.845,0.584,5,4,WWE,2019,2024,0.172,0.138,0.308,0.345,0.207,4.291
Ricky Starks,27,3.824,0.689,5,3,AEW,2020,2024,0.185,0.111,0.255,0.37,0.167,4.283
Bronson Reed,24,3.792,0.493,3,2,WWE,2020,2025,0.125,0.083,0.354,0.25,0.125,4.27
AJ Styles,123,3.756,0.637,21,9,WWE,2015,2025,0.171,0.073,0.281,0.341,0.11,4.269
Samoa Joe,66,3.784,0.606,10,6,AEW,2015,2025,0.152,0.091,0.297,0.303,0.136,4.248
Robbie Eagles,41,3.762,0.746,9,5,NJPW,2019,2025,0.22,0.122,0.227,0.439,0.183,4.245
Bron Breakker,48,3.807,0.476,4,3,WWE,2021,2025,0.083,0.062,0.362,0.167,0.094,4.242
Sami Zayn,102,3.789,0.64,13,7,WWE,2015,2025,0.127,0.069,0.28,0.255,0.103,4.221
Minoru Suzuki,108,3.681,0.705,24,11,NJPW,2015,2024,0.222,0.102,0.247,0.444,0.153,4.22
Brock Lesnar,31,3.685,0.796,8,4,WWE,2015,2025,0.258,0.129,0.202,0.516,0.194,4.21
Trick Williams,26,3.731,0.484,3,2,WWE,2023,2025,0.115,0.077,0.358,0.231,0.115,4.204
Lio Rush,39,3.744,0.589,5,3,AEW,2019,2025,0.128,0.077,0.305,0.256,0.115,4.19
Trent Beretta,43,3.767,0.495,3,2,AEW,2022,2025,0.07,0.047,0.352,0.14,0.07,4.19
Yota Tsuji,82,3.689,0.64,14,7,NJPW,2018,2025,0.171,0.085,0.28,0.341,0.128,4.182
Ludwig Kaiser,25,3.74,0.364,1,1,WWE,2022,2025,0.04,0.04,0.418,0.08,0.06,4.178
Scott Dawson,23,3.707,0.547,3,2,WWE,2015,2019,0.13,0.087,0.327,0.261,0.13,4.163
Finn Balor,111,3.739,0.504,9,7,WWE,2015,2025,0.081,0.063,0.348,0.162,0.095,4.154
Dean Ambrose,42,3.75,0.685,6,4,WWE,2015,2019,0.143,0.095,0.257,0.286,0.143,4.15
Oba Femi,22,3.705,0.586,3,2,WWE,2024,2025,0.136,0.091,0.307,0.273,0.136,4.148
Chuck Taylor,31,3.774,0.593,4,4,AEW,2019,2024,0.129,0.129,0.304,0.258,0.194,4.142
Dash Wilder,24,3.688,0.543,3,2,WWE,2015,2019,0.125,0.083,0.329,0.25,0.125,4.141
Andrade,34,3.713,0.537,3,2,WWE,2019,2025,0.088,0.059,0.331,0.176,0.088,4.133
Keith Lee,26,3.731,0.71,4,3,AEW,2019,2023,0.154,0.115,0.245,0.308,0.173,4.11
Gabe Kidd,52,3.688,0.913,14,9,NJPW,2023,2025,0.269,0.173,0.144,0.538,0.26,4.11
Cameron Grimes,21,3.655,0.349,1,1,WWE,2019,2023,0.048,0.048,0.426,0.095,0.071,4.104
Santos Escobar,26,3.74,0.397,1,2,WWE,2020,2025,0.038,0.077,0.402,0.077,0.115,4.104
Tetsuya Naito,252,3.672,0.732,45,28,NJPW,2015,2025,0.179,0.111,0.234,0.357,0.167,4.096
Beretta,35,3.607,0.37,1,0,NJPW,2015,2018,0.029,0.0,0.415,0.057,0.0,4.079
Darius Martin,25,3.73,0.586,2,2,AEW,2020,2025,0.08,0.08,0.307,0.16,0.12,4.077
Dustin Rhodes,29,3.707,0.59,2,2,AEW,2019,2025,0.069,0.069,0.305,0.138,0.103,4.046
Rocky Romero,85,3.671,0.522,5,5,NJPW,2015,2025,0.059,0.059,0.339,0.118,0.088,4.039
